id,category,topic,created_at,message_length,response_length
44,vedas,rigveda-general,2025-04-12 03:26:04.840091,29,2745
43,vedas,rigveda-general,2025-04-12 03:24:07.599656,7,156
42,vedas,rigveda-general,2025-04-12 03:13:42.574333,41,4108
41,vedas,rigveda-general,2025-04-12 03:13:06.854343,7,148
40,vedas,rigveda-general,2025-04-12 03:12:58.684422,2,173
39,vedas,rigveda-general,2025-04-12 03:12:56.286484,19,5300
38,characters,shiva,2025-04-12 03:00:57.963596,32,2948
37,characters,shiva,2025-04-12 02:59:30.084887,6,231
36,characters,shiva,2025-04-12 02:59:03.047179,2,115
35,puranas,bhavishya,2025-04-12 02:48:34.802688,16,2736
34,puranas,bhavishya,2025-04-12 02:47:59.395461,2,215
33,vedas,rigveda-general,2025-04-12 02:41:07.863424,23,2679
32,vedas,rigveda-general,2025-04-12 02:40:22.580186,12,142
31,vedas,rigveda-general,2025-04-12 02:40:02.582124,2,147
30,puranas,garuda,2025-04-12 01:43:34.977621,10,3083
29,puranas,garuda,2025-04-12 01:39:27.861943,2,143
28,vedas,rigveda-general,2025-04-12 01:38:40.143682,2,143
27,vedas,rigveda-general,2025-04-12 01:36:01.311936,2,133
26,characters,krishna,2025-04-12 01:25:54.076707,7,120
25,vedas,rigveda-general,2025-04-12 01:25:47.643528,7,133
24,characters,krishna,2025-04-12 01:15:33.895096,82,2682
23,characters,krishna,2025-04-12 01:15:07.530061,7,118
22,epics,mahabharata,2025-04-12 01:07:48.284790,36,2089
21,epics,mahabharata,2025-04-12 01:05:49.055333,25,2046
20,epics,mahabharata,2025-04-12 01:05:18.860073,27,1922
19,epics,mahabharata,2025-04-12 01:04:30.941600,45,2009
18,epics,gita,2025-04-12 01:03:19.209818,15,1968
17,vedas,yajurveda-general,2025-04-12 00:53:53.062777,2,1657
16,characters,krishna,2025-04-12 00:33:37.954797,20,1976
15,vedas,rigveda-general,2025-04-11 23:54:39.434013,2,1900
14,knowledge,karma_yoga,2025-04-11 23:34:24.559571,19,2205
13,characters,narasimha,2025-04-11 23:33:22.485737,22,2095
12,characters,narasimha,2025-04-11 23:29:44.119665,22,2040
11,characters,narasimha,2025-04-11 23:29:31.392071,22,184
10,vedas,rigveda-general,2025-04-11 23:27:15.552971,38,1848
9,knowledge,ayurveda,2025-04-11 23:26:38.820088,22,2066
8,characters,krishna,2025-04-11 23:26:26.520328,25,2290
7,deities,krishna,2025-04-11 23:23:21.134350,26,1822
6,concepts,karma,2025-04-11 23:22:04.551440,14,2250
5,concepts,karma,2025-04-11 23:21:49.262160,14,2256
4,characters,krishna,2025-04-11 23:16:01.066648,26,2245
3,characters,krishna,2025-04-11 23:15:44.256798,26,2107
2,general,introduction,2025-04-11 23:15:24.595731,18,723
1,characters,krishna,2025-04-11 23:11:47.510968,21,77
